species,fitA_spring_lat_slope,fitA_spring_lat_intercept
Alnus rubra,-0.53131111,111.32023
Betula papyrifera,0.82922233,58.16951
Fagus sylvatica,0.57419234,95.45895
Fraxinus excelsior,0.61999177,113.627
Picea abies,-0.10287948,126.95516
Picea engelmannii,-0.04583111,104.51851
Picea mariana,-0.05648857,142.3653
Picea sitchensis,-0.07720751,125.21664
Pinus albicaulis,-0.73616273,133.89062
Pinus ponderosa,-0.13118217,169.49819
Populus balsamifera,0.11276298,111.55046
Populus trichocarpa,0.54187351,38.65313
Pseudotsuga menziesii,0.41928113,105.16919
Quercus petraea,-0.09754693,112.09055
Tsuga heterophylla,-0.35656901,133.11321
