"percentage","identifier","label"
66.4424185790389,"prov1","EA FRAXEX Rosique-Esplugas 2021"
82.7484530218821,"prov10","EA FRAXEX Rosique-Esplugas 2021"
86.0765735778313,"prov11","EA FRAXEX Rosique-Esplugas 2021"
87.1141753120142,"prov12","EA FRAXEX Rosique-Esplugas 2021"
88.7095420276071,"prov13","EA FRAXEX Rosique-Esplugas 2021"
72.2986212890215,"prov14","EA FRAXEX Rosique-Esplugas 2021"
83.3953201916587,"prov15","EA FRAXEX Rosique-Esplugas 2021"
67.0843929346219,"prov16","EA FRAXEX Rosique-Esplugas 2021"
66.173809985792,"prov17","EA FRAXEX Rosique-Esplugas 2021"
75.1257367102824,"prov18","EA FRAXEX Rosique-Esplugas 2021"
81.2688849970409,"prov19","EA FRAXEX Rosique-Esplugas 2021"
73.2856852241534,"prov2","EA FRAXEX Rosique-Esplugas 2021"
89.5220650184078,"prov20","EA FRAXEX Rosique-Esplugas 2021"
89.3050744387292,"prov21","EA FRAXEX Rosique-Esplugas 2021"
91.7432368533789,"prov22","EA FRAXEX Rosique-Esplugas 2021"
89.2233984880256,"prov23","EA FRAXEX Rosique-Esplugas 2021"
67.6685796169532,"prov24","EA FRAXEX Rosique-Esplugas 2021"
92.4843794353556,"prov25","EA FRAXEX Rosique-Esplugas 2021"
80.2279050438986,"prov26","EA FRAXEX Rosique-Esplugas 2021"
89.1716241284292,"prov27","EA FRAXEX Rosique-Esplugas 2021"
84.8189663106055,"prov28","EA FRAXEX Rosique-Esplugas 2021"
85.4582329510692,"prov29","EA FRAXEX Rosique-Esplugas 2021"
75.1705982963542,"prov3","EA FRAXEX Rosique-Esplugas 2021"
89.1072393266467,"prov30","EA FRAXEX Rosique-Esplugas 2021"
84.2135290606227,"prov31","EA FRAXEX Rosique-Esplugas 2021"
77.9433035251578,"prov32","EA FRAXEX Rosique-Esplugas 2021"
76.6877765211313,"prov33","EA FRAXEX Rosique-Esplugas 2021"
77.7486165253649,"prov34","EA FRAXEX Rosique-Esplugas 2021"
95.4074030754019,"prov35","EA FRAXEX Rosique-Esplugas 2021"
78.4636560279282,"prov36","EA FRAXEX Rosique-Esplugas 2021"
83.3113026020259,"prov37","EA FRAXEX Rosique-Esplugas 2021"
81.6634152524885,"prov38","EA FRAXEX Rosique-Esplugas 2021"
89.0466946780768,"prov39","EA FRAXEX Rosique-Esplugas 2021"
71.2647408519437,"prov40","EA FRAXEX Rosique-Esplugas 2021"
70.0759778039078,"prov41","EA FRAXEX Rosique-Esplugas 2021"
71.8010345613737,"prov42","EA FRAXEX Rosique-Esplugas 2021"
72.7573167172873,"prov5","EA FRAXEX Rosique-Esplugas 2021"
60.4673980198934,"prov6","EA FRAXEX Rosique-Esplugas 2021"
65.4456806748787,"prov7","EA FRAXEX Rosique-Esplugas 2021"
73.369192033748,"prov8","EA FRAXEX Rosique-Esplugas 2021"
84.5147158120403,"prov9","EA FRAXEX Rosique-Esplugas 2021"
