percentage,sd,prov_identifier,label
38.12701836,4.962860542,prov1,NA BETUPA Hawkins & Dhar 2012 K
38.11033989,6.242550454,prov10,NA BETUPA Hawkins & Dhar 2012 K
43.17682266,6.574093327,prov11,NA BETUPA Hawkins & Dhar 2012 K
36.51365822,6.62539656,prov12,NA BETUPA Hawkins & Dhar 2012 K
41.44275877,6.76489902,prov13,NA BETUPA Hawkins & Dhar 2012 K
41.69001703,6.902733149,prov14,NA BETUPA Hawkins & Dhar 2012 K
54.69559517,4.874249088,prov15,NA BETUPA Hawkins & Dhar 2012 K
16.59554304,5.243393707,prov16,NA BETUPA Hawkins & Dhar 2012 K
27.80512141,5.533374832,prov17,NA BETUPA Hawkins & Dhar 2012 K
42.62124492,5.503150195,prov18,NA BETUPA Hawkins & Dhar 2012 K
49.63278737,5.348975063,prov2,NA BETUPA Hawkins & Dhar 2012 K
48.23445312,5.217706992,prov3,NA BETUPA Hawkins & Dhar 2012 K
23.27590283,5.641148654,prov4,NA BETUPA Hawkins & Dhar 2012 K
51.25306424,5.411173069,prov5,NA BETUPA Hawkins & Dhar 2012 K
44.90024172,5.526515823,prov6,NA BETUPA Hawkins & Dhar 2012 K
53.07371258,5.486133567,prov7,NA BETUPA Hawkins & Dhar 2012 K
44.5624232,6.189762555,prov8,NA BETUPA Hawkins & Dhar 2012 K
41.71296915,6.023658574,prov9,NA BETUPA Hawkins & Dhar 2012 K
