 ,Area,Mean,Min,Max,X,Y
1,0,55,55,55,50.38,141.725
2,0,56,56,56,50.644,142.466
3,0,55,55,55,50.771,141.739
4,0,57,57,57,50.954,145.135
5,0,55,55,55,51.333,144.407
6,0,58,58,58,51.39,144.973
7,0,54,54,54,51.46,141.577
8,0,56,56,56,51.868,139.636
9,0,53,53,53,51.811,146.59
10,0,54,54,54,52.008,146.995
11,0,56,56,56,52.008,145.539
12,0,54,54,54,52.289,145.782
13,0,56,56,56,52.486,145.216
14,0,57,57,57,52.725,145.054
15,0,51,51,51,52.964,144.569
16,0,56,56,56,52.978,148.127
17,0,54,54,54,53.231,146.348
18,0,60,60,60,54.145,145.943
19,0,62,62,62,54.145,149.097
20,0,54,54,54,54.216,149.34
21,0,58,58,58,54.23,148.288
22,0,63,63,63,54.244,146.105
23,0,56,56,56,54.75,149.744
24,0,60,60,60,55.129,155
25,0,53,53,53,55.256,149.016
26,0,61,61,61,55.354,151.442
27,0,58,58,58,55.411,149.663
28,0,61,61,61,55.664,148.693
29,0,58,58,58,55.734,149.744
30,0,54,54,54,55.973,147.965
31,0,53,53,53,56.17,146.348
32,0,57,57,57,56.409,150.714
33,0,47,47,47,56.662,150.957
34,0,62,62,62,56.662,151.442
35,0,56,56,56,56.732,150.876
36,0,24,24,24,56.69,149.259
37,0,7,7,7,56.676,148.854
38,0,61,61,61,56.76,149.178
39,0,49,49,49,57.337,147.965
40,0,58,58,58,57.59,151.846
41,0,58,58,58,57.646,146.509
42,0,57,57,57,57.534,145.296
